Module,Tables,L1_SQL_Wired,L1_Entity_Repo,L2_Entity_Svc_Funcs,L3_Route_Files,L4_Entity_Events,L5_FE_API_Methods,L6_UI_Components,Status
action,51,32,Y,52,3,1,46,6,PRODUCTION
admin,36,92,Y,93,38,1,66,26,PRODUCTION
agrc-engine,31,104,Y,21,29,7,31,5,PRODUCTION
ai,49,337,Y,361,43,1,61,29,PRODUCTION
ai-governance,52,99,Y,47,19,1,59,134,PRODUCTION
analytics,36,89,Y,65,9,1,59,16,PRODUCTION
asset,53,43,Y,60,13,1,52,17,PRODUCTION
audit,60,61,Y,71,35,1,51,31,PRODUCTION
bcp,66,59,Y,101,8,1,46,6,PRODUCTION
bootstrap,38,20,Y,14,2,5,21,7,PRODUCTION
compliance,54,153,Y,96,65,1,51,102,PRODUCTION
controls,65,44,Y,65,11,1,51,27,PRODUCTION
dashboard,48,76,Y,38,12,1,41,43,PRODUCTION
dora,58,36,Y,59,2,1,46,12,PRODUCTION
evidence,72,92,Y,85,22,1,51,31,PRODUCTION
exception,46,22,Y,24,3,1,27,16,PRODUCTION
foundation,33,39,Y,12,17,1,21,35,PRODUCTION
governance,81,174,Y,157,51,1,81,43,PRODUCTION
governance-ai,46,55,Y,26,1,1,28,7,PRODUCTION
governance-os,48,58,Y,39,5,1,46,5,PRODUCTION
inbox,32,20,Y,17,3,1,28,8,PRODUCTION
incident,63,83,Y,106,4,1,76,11,PRODUCTION
integrations,29,65,Y,60,18,4,51,12,PRODUCTION
issues,42,19,Y,18,3,8,31,8,PRODUCTION
journey,47,14,Y,19,3,1,31,18,PRODUCTION
ksa-regulatory,37,41,Y,17,1,6,24,5,PRODUCTION
local-knowledge,25,38,Y,14,16,5,21,5,PRODUCTION
navigation,37,19,Y,15,3,5,26,5,PRODUCTION
notification,31,37,Y,32,5,1,36,8,PRODUCTION
onboarding,82,80,Y,24,7,1,32,46,PRODUCTION
packs,38,38,Y,20,2,7,26,5,PRODUCTION
policy,67,73,Y,71,14,24,51,24,PRODUCTION
portals,31,31,Y,16,3,6,28,8,PRODUCTION
privacy,41,40,Y,59,3,1,46,16,PRODUCTION
proactive-leadership,31,35,Y,21,1,7,30,5,PRODUCTION
provisioning,33,24,Y,20,3,7,23,5,PRODUCTION
qiyas,58,56,Y,30,4,1,47,27,PRODUCTION
quality-gate,38,15,Y,20,1,7,27,5,PRODUCTION
records,39,33,Y,43,3,1,43,7,PRODUCTION
remediation,48,38,Y,42,5,16,41,6,PRODUCTION
reporting,42,69,Y,38,21,1,53,5,PRODUCTION
risk,72,90,Y,89,16,1,46,45,PRODUCTION
team,35,19,Y,34,2,1,46,10,PRODUCTION
training,43,53,Y,50,4,2,46,7,PRODUCTION
vendor,71,79,Y,62,14,2,51,6,PRODUCTION
widgets,41,34,Y,34,5,1,47,4,PRODUCTION
workflow,63,104,Y,16,27,2,46,51,PRODUCTION
